independent continuant;mental-premental conjunctiva;the conjunctiva of the labium that connects the mentum and the prementum.
independent continuant;anterior metathoracic foramen;the thoracic foramen that is at the anterior margin of the cuticle of the metathorax.
independent continuant;profurca-occipital muscle;the dorsoventral thoracic muscle that extends between the posterior region (occipital region) of the head capsule and the profurca.
independent continuant;profemoro-protibial conjunctiva;the conjunctiva that encircles the protibia by joining the distal margin of the profemur and the proximal margin of the protibia.
independent continuant;insect cranial muscle;the somatic muscle that is attached to the head capsule.
independent continuant;abdominal sternite viii-abdominal sternite ix conjunctiva;the conjunctiva of the insect abdomen that connects the abdominal sternite viii and the abdominal sternite ix.
independent continuant;radial vein of the insect wing;the insect wing vein that is posterior to the subcosta and anterior to the media.
independent continuant;submentopremental muscle;the cranio-labial muscle that is attached to the submentum and the prementum.
independent continuant;cuticle of stipes;the cuticle of the sclerite of the insect maxilla that is attached to the cuticle of cardo by the cardo-stipital conjunctiva, attached to the cuticle of lacinia by the stipito-lacinial conjunctiva, attached to the cuticle of palpifer by the stipito-palpiferal conjunctiva, and attached to the cuticle of galea by the stipito-galeal conjunctiva.
independent continuant;ventral longitudinal abdominal muscle;the insect abdominal muscle that runs along the ventral region, parallel to the anterior-posterior axis.
independent continuant;cuticular pit;the cuticular depression that corresponds to an apophysis.
independent continuant;frontoclypeal sulcus;the sulcus that coincides with the frontoclypeal ridge and separated the frons from the clypeus.
independent continuant;tentorio-paraglossal muscle;the cranio-labial muscle that is attached to the posterior tentorial arm and the paraglossa.
independent continuant;pore canal;the orifice that is contained by the cuticle and connects the inside of the insect with the outside, is tubular, and whose diameter is smaller than 100 nm.
independent continuant;anteroexternal cranio-mandibular muscle;the cranio-mandibular muscle that is attached to the gena and the insect mandible.
independent continuant;vertex;the dorsal region of the head capsule that surrounds the coronal suture, and is connected laterally to the genae.
independent continuant;stipito-galeal conjunctiva;the conjunctiva of the insect maxilla that connects the stipes and the galea.
independent continuant;granulated cuticle;the region of cuticle that bears an anatomical collection that is composed of granules.
independent continuant;insect prothoracic segment;the insect body segment that corresponds to the prothorax and is posterior to the insect cephalic segment.
independent continuant;cuticle of scapus;the cuticle of the segment of the antenna that is connected to the head capsule and the antennifer by the basal antennal conjunctiva and to the pedicellus by the scapal-pedicellar conjunctiva.
independent continuant;anepisternum;the dorsal region of the episternum that is dorsal to the anapleural sulcus.
independent continuant;mesofemoro-mesotibial conjunctiva;the conjunctiva that encircles the mesotibia by joining the distal margin of the mesofemur and the proximal margin of the mesotibia.
independent continuant;cuticle of metacoxa;the cuticle of the segment of the hind leg that is attached to the latero-ventral region of the metathorax by the basal metacoxal conjunctiva and to the metatrochanter by the metacoxal-metatrochanteral conjunctiva.
independent continuant;cuticular sulcus;the cuticular depression (concavity on cuticle surface) that corresponds with a cuticular ridge (an elongate cuticular invagination).
independent continuant;transversal labral muscle;the cranio-labral muscle that extends betwen the sides of the labrum.
independent continuant;cubital field of the insect wing;the region of the insect wing that is posterior to the medial field of the insect wing.
independent continuant;abdominal sternite vi-abdominal sternite vii conjunctiva;the conjunctiva of the insect abdomen that connects the abdominal sternite vi and the abdominal sternite vii.
independent continuant;femoro-tibial conjunctiva;the conjunctiva that encircles the tibia by joining the distal margin of the femur and the proximal margin of the tibia.
independent continuant;abdominal sternite iv-abdominal sternite v conjunctiva;the conjunctiva of the insect abdomen that connects the abdominal sternite iv and the abdominal sternite v.
independent continuant;hypopharyngeal suspensorium;the hypopharyngeal sclerite on the proximal region of the hypopharynx.
independent continuant;pretarsal seta;the cuticular seta that is adjacent to the cuticle of the pretarsus.
independent continuant;prealar sclerite;the sclerite of the pterothorax that is attached to some muscle.
independent continuant;frontoepypharyngeal muscle;the cranio-labral muscle that is attached to the frons and the tormae.
independent continuant;cuticular spine;the cuticular protrusion of a sclerite that is sharp.
independent continuant;furca;the apophysis that is located ventromedially on the thorax and is connected to the coxa via muscles.
independent continuant;abdominal sternite ii;the abdominal tergite of the preabdomen that is attached to the posterior margin of the abdominal sternite i by the abdominal sternite i-abdominal sternite ii conjunctiva and to the anterior margin of the abdominal sternite iii by the abdominal sternite ii-abdominal sternite iii conjunctiva.
independent continuant;premento-glossal muscle;the cranio-labial muscle that is attached to the prementum and the glossa.
independent continuant;metatarso-metapretarsal conjunctiva;the conjunctiva that encircles the metapretarsus by joining the distal margin of the distalmost metatarsomere and the proximal margin of the metapretarsus.
independent continuant;cuticular suture;the region of the cuticle of the head capsule that coincides with an ecdysial line.
independent continuant;subgenal sulcus;the cuticular sulcus that is adjacent to the subgena and coincides with the subgenal ridge.
independent continuant;abdominal tergite;the sclerite of the insect abdomen that is dorsal and medial.
independent continuant;hypostomal bridge;the lateral region of the head capsule that is adjacent to the foramen occipitale
independent continuant;mesonoto-metanotal muscle;the insect thoracic muscle that extends between the mesonotum and the metanotum.
independent continuant;mesopleuro-mesocoxal conjunctiva;the conjunctiva of the mesothorax that joins the mesopleuron and the mesocoxa.
independent continuant;salivary sclerite;the sclerite of the salivarium.
independent continuant;cuticle of maxillary palpomere iii;the cuticle of the maxillary palpomere that is attached to the distal margin of the maxillary palpomere ii and to the proximal margin of the maxillary palpomere iv.
independent continuant;postnotum;the sclerite of the notum that is attached to the posterior margin of the scutellum.
independent continuant;pronoto-protrochantinal muscle;the tergo-trochantinal muscle that is attached to the pronotum and the protrochantin.
independent continuant;circular pouch;the pouch that is circular.
independent continuant;sternum;the ventral region of the cuticle of the insect thorax that is attached to the ventral margin of the pleuron.
independent continuant;pronoto-mesopectal conjunctiva;the conjunctiva that is attached to the pronotum and the mesopectus.
independent continuant;lateral abdominal muscle;the insect abdominal muscle that runs along the lateral region, parallel to the dorsal-ventral axis.
independent continuant;eye cuticle;the elastic cuticle of the head capsule that is transparent and covers the eye.
independent continuant;stipito-lacinial conjunctiva;the conjunctiva of the insect maxilla that connects the stipes and the lacinia.
independent continuant;poststernite;the part of the sternum that is attached to the posterior margin of the spinasternum.
independent continuant;tentorio-oral muscle;the cranio-hypopharyngeal muscle that is attached to the anterior tentorial arm and the suspensorium.
independent continuant;setose cuticle;the region of the cuticle that bears an anatomical collection that is composed of setae.
independent continuant;basistipes;the region of cuticle on the lateral region of the cuticle of stipes, adjacent to the distal margin of the cuticle of the cardo, to the proximal margin of the cuticle of the palpifer, and adjacent to the proximal margin of the mediostipes.
independent continuant;basal mesocoxal conjunctiva;the conjunctiva that encircles the mesocoxa and connects it to the ventral and lateral regions of the mesothorax.
independent continuant;metanoto-metatrochantinal muscle;the tergo-trochantinal muscle that is attached to the metanotum and the metatrochantin.
independent continuant;prophragma;the phragma of the mesonotum that attaches to muscles attached to the pronotum.
independent continuant;pleural membrane;the conjunctiva of the insect abdomen that surrounds the spiracles.
independent continuant;mesocoxal-mesotrochanteral conjunctiva;the conjunctiva of the mid leg joining the distal margin of a mesocoxa and the proximal margin of a mesotrochanter.
independent continuant;abdominal sternite ix;the abdominal sternite of the postabdomen that is attached to the posterior margin of the abdominal sternite viii by the abdominal sternite viii-abdominal sternite ix conjunctiva and to the anterior margin of the abdominal sternite x by the abdominal sternite ix-abdominal sternite x conjunctiva.
independent continuant;mesonoto-metanotal conjunctiva;the conjunctiva of the insect thorax that joins the mesonotum and the metanotum.
independent continuant;fourth maxillar palpopalpal muscle;the insect cranio-maxillar muscle that is attached to the fourth maxillar palpomere and the fifth maxillar palpomere.
independent continuant;prementum;the sclerite of the labium that is connected to the mentum by the mental-premental conjunctiva, to the palpiger by the premental-palpigeral conjunctiva, to the paraglossa by the premental-paraglossal conjunctiva, and to the glossa by the premental-glossal conjunctiva.
independent continuant;protrochantin;the trochantin that is located on the ventro-lateral region of the prothorax and is attached to a procoxa and surrounded by the basal procoxal conjunctiva.
independent continuant;insect leg muscle;the somatic muscle that is part of the insect leg.
independent continuant;cuticle of gonostylus ix;the region of the cuticle of the postabdomen that is paired and connected to the anterior region of the gonocoxa ix.
independent continuant;endophallite;the region of cuticle of the endophallus that is thicker.
independent continuant;anepimeron;the region of the cuticle on the dorsal region of the epimeron.
independent continuant;insect abdominal segment ix;the insect abdominal segment that is posterior to the insect abdominal segment viii and composed of abdominal tergite ix and abdominal sternite ix.
independent continuant;insect thoracic segment;the insect body segment that is part of the insect thorax.
independent continuant;basal procoxal conjunctiva;the conjunctiva that encircles the procoxa and connects it to the ventral and lateral regions of the prothorax.
independent continuant;cuticular evagination;the region of cuticle that corresponds with an evagination of the cuticle and the single layer epidermis (epidermal fold). the cuticular evagination usually corresponds to a cuticular protrusion (convexity on the surface of the cuticle).
independent continuant;internal cranio-mandibular muscle;the cranio-mandibular muscle that is attached to the head capsule and the insect mandible.
independent continuant;pleurite;the sclerite that is part of the pleuron.
independent continuant;cuticle of protibia;the cuticle of the segment of a fore leg attached to the distal margin of the profemur by the profemoro-protibial conjunctiva and to the proximal margin of the protarsus by the protibio-protarsal conjunctiva.
independent continuant;cuticular tendon;the apodeme of elastic cuticle that is continuous with somatic muscle.
independent continuant;second maxillar palpopalpal muscle;the insect cranio-maxillar muscle that is attached to the second maxillar palpomere and the third maxillar palpomere.
independent continuant;mesopleuro-metapleural conjunctiva;the conjunctiva of the insect thorax that joins the mesopleuron and the metapleuron.
independent continuant;cuticle of femur;the cuticle of the segment of a leg attached to the distal margin of the trochanter by the trochantero-femoral conjunctiva and to the proximal margin of the tibia by the femoro-tibial conjunctiva.
independent continuant;tentorial bridge;the apophysis of the tentorium originating from each posterior tentorial arm.
independent continuant;superomedial tentorio-mandibular muscle;the cranio-mandibular muscle that is attached to the anterior tentorial arm and the insect mandible.
independent continuant;abdominal tergite v-abdominal tergite vi conjunctiva;the conjunctiva of the insect abdomen that connects the abdominal tergite v and the abdominal tergite vi.
independent continuant;abdominal sternite v;the abdominal sternite of the preabdomen that is attached to the posterior margin of the abdominal sternite iv by the abdominal sternite iv-abdominal sternite v conjunctiva and to the anterior margin of the abdominal sternite vi by the abdominal sternite v-abdominal sternite vi conjunctiva.
independent continuant;basal metacoxal conjunctiva;the conjunctiva that encircles the metacoxa and connects it to the ventral and lateral regions of the metathorax.
independent continuant;phragma;the internal apodeme that is continuous with the cuticle of the notum and is attached to a dorsal longitudinal muscle.
independent continuant;conjunctival tubercle;the cuticular evagination constituted by conjunctiva that is circular.
independent continuant;postoccipitopremental muscle;the cranio-labial muscle that is attached to the postoccipital phragma and the prementum.
independent continuant;epistoepipharyngeal muscle;the cranio-labral muscle that is attached to the frontoclypeal ridge and the labrum.
independent continuant;branching cuticular invagination;the cuticular ivagination that is branched into umerous branches.
independent continuant;frontolabral muscle;the cranio-labral muscle that is attached to the frons and the labrum.
independent continuant;insect ocellus;the sense organ of the insect head that is covered by eye cuticle.
independent continuant;cuticle of hind wing;the cuticle of the paired insect wing that is continuous with the metanotum.
independent continuant;profemoral muscle;the somatic muscle that inserts in the profemur.
independent continuant;cuticular puncture;the cuticular fovea that is small.
independent continuant;cuticle of appendage segment;the ring sclerite that is part of an appendage and is attached to muscle.
independent continuant;cuticular apophysis;the cuticular invagination that is hollow.
independent continuant;mesosterno-mesocoxal conjunctiva;the conjunctiva of the mesothorax that joins the mesosternum and the mesocoxa.
independent continuant;posterior mesothoracic foramen;the thoracic foramen that is at the posterior margin of the cuticle of the mesothorax.
independent continuant;cuticular seta;the unicellular cuticular evagination that constitutes a sclerite with its base surrounded by socket membrane.
independent continuant;abdominal sternite ix-phallobase conjunctiva;the conjunctiva of the insect abdomen that connects the abdominal sternite ix and the abdominal sternite x.
independent continuant;cuticle of insect appendage;the evagination of the cuticle that is musculated (connected to the body via muscles).
independent continuant;dorsal second axillary sclerite;the axillary sclerite that is on the dorsal region of the basal wing conjunctiva and lateral to the first axillary sclerite.
independent continuant;metafurca;the furca of the metathorax that is attached to the metacoxa via muscle.
independent continuant;tentorio-cardinal muscle;the insect cranio-maxillar muscle that is attached to the tentorium and the cardo.
independent continuant;insect wing fold;the region of cuticle of the insect wing that is more flexible than the wing conjunctiva.
independent continuant;insect trachea;the branching invagination of elastic cuticle that is cylindrical and contains taenidia.
independent continuant;pronoto-propleural conjunctiva;the noto-pleural conjunctiva that joins the pronotum and the propleuron.
independent continuant;prepectus;the sclerite that is posterior to the pronotum and receives the site of attachment of the dilutor muscle of the first thoracic spiracle.
independent continuant;insect anus;the orifice on the postabdomen at the posterior margin of the digestive tract, connected to the epiproct and paraprocti.
independent continuant;femoral muscle;the somatic muscle that inserts in the femur.
independent continuant;cuticle of fore leg;the cuticle of the paired appendage of the prothorax that is anterior to the cuticle of a mid leg and composed of cuticle of procoxa, cuticle of protrochanter, cuticle of profemur, cuticle of protibia, cuticle of protarsus, and cuticle of propretarsus.
independent continuant;cuticle of insect mandible;the cuticle of the mouthpart and sclerite between the cuticle of the labrum and the cuticle of the insect maxilla that is attached to the head capsule by the oral foraminal conjunctiva and the cranio-mandibular muscle.
independent continuant;abdominal tergite viii-abdominal tergite ix conjunctiva;the conjunctiva of the insect abdomen that connects the abdominal tergite viii and the abdominal tergite ix.
independent continuant;cervical sclerite;the sclerite that is surrounded by the neck membrane.
independent continuant;epicranial suture;the cuticular suture composed of both the coronal suture and paired frontal sutures.
independent continuant;spina;the sclerite attached to the spinasternum.
independent continuant;posterior metathoracic foramen;the thoracic foramen that is at the posterior margin of the cuticle of the metathorax.
independent continuant;cuticle of maxillary palpus;the cuticle of the appendage of the insect maxilla that is attached to the cuticle of palpifer by the palpifero-palpal conjunctiva.
independent continuant;alinotum;the sclerite that is on the lateral region of the notum and is adjacent to the wing.
independent continuant;cuticular spur;the multicellular evagination of the cuticle that corresponds to an epithelial fold, composed of some sclerite that is encricled by a conjunctiva (moveable).
independent continuant;medial scapo-pedicellar muscle;the cranio-antennal muscle that is attached to the scapus and the pedicellus.
independent continuant;cranio-mandibular muscle;the somatic muscle that is attached to the head capsule and the insect mandible.
independent continuant;furcasternum;the part of the sternum that is attached to the posterior margin of the basisternum and to the anterior margin of the spinasternum.
independent continuant;insect abdominal segment iv;the insect abdominal segment that is posterior to the insect abdominal segment iii and composed of abdominal tergite iv and abdominal sternite iv.
independent continuant;cranio-antennal articulation;the articulation between the scapus and the cranium.
independent continuant;acantha;the solid cuticular protrusion that coincides with only one epidermal cell (smaller than the diameter of the epidermal cell).
independent continuant;cuticle of maxillary palpomere v;the cuticle of the maxillary palpomere that is attached to the distal margin of the maxillary palpomere iv.
independent continuant;cuticle of gonapophysis;the cuticle of the appendage of the abdominal sternite viii that is part of the ovipositor.
independent continuant;abdominal sternite v-abdominal sternite vi conjunctiva;the conjunctiva of the insect abdomen that connects the abdominal sternite v and the abdominal sternite vi.
independent continuant;subgenal ridge;the ridge of the head capsule that separates the gena and the subgena.
independent continuant;cuticular pouch;the invagination of the cuticle that is largely membranous.
independent continuant;cuticle of gonostylus viii;the region of the cuticle of the postabdomen that is paired and connected to the anterior region of the gonocoxa viii.
independent continuant;propleuro-procoxal articulation;the insect articulation between the propleuron and the procoxa.
independent continuant;mesopleuro-mesosternal conjunctiva;the conjunctiva of the mesothorax that joins the mesopleura and the mesosternum.
independent continuant;axillary region of the insect wing;the proximal region of the insect wing.
independent continuant;abdominal tergite ii-abdominal tergite iii conjunctiva;the conjunctiva of the insect abdomen that connects the abdominal tergite ii and the abdominal tergite iii.
independent continuant;insect wing vein;the region of cuticle of the insect wing that is less flexible than the wing conjunctiva.
independent continuant;jugal fold of the insect wing;the insect wing fold that separates the anal field and the jugal field.
independent continuant;gula;the sclerite on the ventral region of the head capsule that is limited laterally by the gular ridges, posteriorly by the foramen occipitale and anteriorly by the submentum.
independent continuant;spermathecal gland;the region of the cuticle that is part of the oviduct and attached to the spermatheca.
independent continuant;prosternum;the sclerite on the ventral region of the prothorax that bears the profurca and is attached to the propleuro-prosternal conjunctiva.
independent continuant;abdominal sternite vii-abdominal sternite viii conjunctiva;the conjunctiva of the insect abdomen that connects the abdominal sternite vii and the abdominal sternite viii.
independent continuant;anterior tentorio-scapal muscle;the cranio-antennal muscle that is attached to the dorsal tentorial arm and the proximal margin of the scapus.
independent continuant;insect articulation;the region of cuticle that is composed two articular surfaces that are adjacent to each other.
independent continuant;tracheal gill;the bilaterally paired cuticular protrusion that contains insect tracheae.
independent continuant;cuticle of mesotibia;the cuticle of the segment of a mid leg attached to the distal margin of the mesofemur by the mesofemoro-mesotibial conjunctiva and to the proximal margin of the mesotarsus by the mesotibio-mesotarsal conjunctiva.
independent continuant;cuticle of gonocoxa viii;the paired sclerite of the postabdomen that is attached to the abdominal sternite vii by the abdominal sternite vii-gonocoxa conjunctiva and is articulated with abdominal tergite ix. it is attached at the base of gonostylus viii and adjacent to the gonopore.
independent continuant;cuticle of mesotrochanter;the cuticle of the segment of a mid leg attached to the distal margin of the mesocoxa by the mesocoxal-mesotrochanteral conjunctiva and to the proximal margin of the mesofemur by the mesotrochantero-mesofemoral conjunctiva.
independent continuant;cuticle of tarsomere;the cuticle of the mere that is part of the tarsus.
independent continuant;profurca-mesonotal muscle;the dorsoventral thoracic muscle that extends between the profurca and the mesonotum.
independent continuant;paraphyses;the proximal apodemes of the aedeagus.
independent continuant;mesotibial muscle;the somatic muscle that inserts in the mesotibia.
independent continuant;thoracic foramen;the arthropod foramen that is part of the cuticle of the insect thorax.
independent continuant;gonopore;the orifice in the postabdomen that marks the opening of the reproductive system.
independent continuant;pleural ridge;the ridge between the epimeron and the episternum in either the mesothorax or the metathorax.
independent continuant;postoccipital ridge;the ridge along the dorsal and lateral regions of the head capsule that is adjacent to the foramen occipitale.
independent continuant;insect appendage segment;the insect region of integument that has a ring sclerirte, continuous with ring conjunctiva, and attached to somatic muscle.
independent continuant;axillary sclerite;the sclerite that is surrounded by the basal wing conjunctiva.
independent continuant;tarso-pretarsal conjunctiva;the conjunctiva that encircles the pretarsus by joining the distal margin of the distalmost tarsomere and the proximal margin of the pretarsus.
independent continuant;costal field of the insect wing;the anterior region of the insect wing.
independent continuant;submentum;the sclerite of the labium that is anteriorly attached to the mentum by the submental-mental conjunctiva.
independent continuant;dorsal longitudinal thoracic muscle;the insect thoracic muscle that is not fan-shaped and runs along the dorsal region, parallel to the anterior-posterior axis.
independent continuant;abdominal tergite x;is the abdominal tergite of the postabdomen that is attached to the posterior margin of the abdominal tergite ix by the abdominal tergite ix-abdominal tergite x conjunctiva and to the anterior margin of the epiproct and paraproct.
independent continuant;genital chamber;the region of cuticle that is connected to the oviduct, the bursa copulatrix and the gonocoxa viii, and is adjacent to the gonopore.
independent continuant;mesonoto-mesopleural conjuntiva;the noto-pleural conjunctiva that joins the mesonotum and the mesopleuron.
independent continuant;mesophragma;the phragma of the metanotum that attaches to muscles attached to the mesonotum.
independent continuant;postgenal bridge;the region of the head capsule that is continuous with the postgena and adjacent to the foramen occipitale.
independent continuant;insect wing region;the region of cuticle of the insect wing that contains wing veins, folds, and conjunctiva.
independent continuant;hypopharyngeal sclerite;the sclerite that is continuous with the hypopharynx.
independent continuant;region of cuticle;the insect region of integument that is part of the chitin-based cuticle.
independent continuant;stipito-palpiferal conjunctiva;the conjunctiva of the insect maxilla that connects the stipes and the palpifer.
independent continuant;insect compound eye;the sense organ of the insect head that is covered by the eye cuticle.
independent continuant;laterotergite;the sclerite of the insect thorax or the insect abdomen that is on the lateral region of the notum.
independent continuant;conjunctival fold;the cuticular depression constituted by conjunctiva that is elongated.
independent continuant;prophragma-occipital muscle;the dorsal longitudinal thoracic muscle that is attached to the prophragma and the postocciput.
independent continuant;anapleural sulcus;the sulcus of the pleuron delimiting the dorsal region of the preepisternum and the ventral region of the anepisternum.
independent continuant;mesofurca;the furca of the mesothorax that is attached to the mesocoxa via muscle.
independent continuant;frontal suture;the cuticular suture that surrounds the frons and is connected to the coronal suture.
independent continuant;antennifer;the cuticular protrusion of the head capsule thag is continuous with the antenniferal-scapal conjunctiva and adjacent to the cuticle of the scapus
independent continuant;protrochantero-profemoral conjunctiva;the conjunctiva that encircles the profemur by joining the distal margin of the protrochanter and the proximal margin of the profemur.
independent continuant;cuticular lobe;the cuticular evagination that is largely membranous.
independent continuant;cuticle of metathorax;the region of the cuticle of the pterothorax that bears the hind legs and the hind wings.
independent continuant;tentorio-tentorial muscle;the insect cranio-antennal muscle that is attached to the tentorial bridge and the tentorium.
independent continuant;occiput;the region of cuticle on the posterodorsal region of the head capsule that is posterior to the occipital ridge and anterior to the postoccipital ridge.
independent continuant;cuticular invagination;the region of cuticle that corresponds with an invagination of the single layer epidermis (epidermal fold). the cuticular invagination sometimes corresponds to a cuticular depression (concavity on the surface of the cuticle).
independent continuant;mesofemoral muscle;the somatic muscle that inserts in the mesofemur.
independent continuant;metanotum;the notum or sclerite on the dorsal region of the metathorax that is posterior to the mesonotum, connected via the metanoto-metapleural conjuntiva to the dorsal margin of the metapleuron, that is not adjacent to the metacoxa, but attached to it by the metacoxal muscle.
independent continuant;submental-mental conjunctiva;the conjunctiva of the labium that connects the submentum and the mentum.
independent continuant;furco-coxal muscle;the insect thoracic muscle that is attached to a furca and to a coxa.
independent continuant;abdominal tergite i;is the abdominal tergite of the preabdomen that is attached to the posterior margin of the tergum by the metanoto-abdominal tergite i conjunctiva and to the anterior margin of the abdominal tergite ii by the abdominal tergite i-abdominal tergite ii conjunctiva.
independent continuant;insect abdominal segment viii;the insect abdominal segment that is posterior to the insect abdominal segment vii and composed of abdominal tergite viii and abdominal sternite viii.
independent continuant;cuticle of ligula;the cuticle of the appendage of the cuticle of labium composed of the cuticle of glossa and cuticle of paraglossa jointly.
independent continuant;sensillum coeloconicum;seta that is located in the middle of a depression with narrowed external opening.
independent continuant;multicellular cuticular evagination;the region of cuticle that corresponds to the evagination of the single layer epithelium.
independent continuant;multicellular ectodermal gland;the ectodermal gland that is composed of multiple cells.
independent continuant;anterior tentorial arm;the apophysis of the tentorium that is connected to an anterior tentorial pit.
independent continuant;pronoto-mesonotal muscle;the insect thoracic muscle that extends between the pronotum and the mesonotum.
independent continuant;postalar bridge;the region of cuticle of the dorso-lateral region of the pterothorax that is surrounded by the noto-pleural conjunctiva and articulated with the epimeron.
