independent continuant;dorso-medial region;anatomical region that overlaps the dorsal and medial regions of the body or body part.
independent continuant;ventro-medial margin;anatomical margin that is located on the ventro-medial region of the body or body part.
independent continuant;apical side;anatomical side that is located on the apical end of an organism or structure.
independent continuant;proximal region;anatomical region proximally located on the body or body part.
independent continuant;upper-lower axis;an anatomical axis determined by gravity.
independent continuant;anterior surface;anatomical surface that is located on the anterior side of the body or body part.
independent continuant;anterior-posterior axis;an axis that extends through an organism from head end to opposite end of body or tail.
independent continuant;anatomical gradient;material anatomical entity defined by change in the value of some quantity per unit of distance across some spatial axis.
independent continuant;ipsilateral side;on the same side
independent continuant;anterior region;anatomical region anteriorly located on the body or body part.
independent continuant;ventral side;an anatomical region that is the entire part of an anatomical structure ventral to a horizontal plane and bounded on one side by the same horizontal plane.
independent continuant;dorsal side;an anatomical region that is the entire part of an anatomical structure dorsal to a horizontal plane and bounded on one side by the same transverse plane.
independent continuant;dorsal-ventral axis;an axis that is approximately perpendicular to the anterior-posterior axis and that extends through the horizontal plane of the body.
independent continuant;dorsal surface;anatomical surface that located on the dorsal side of the body or body part.
independent continuant;lateral surface;anatomical surface that located on the lateral side of the body or body part.
independent continuant;postero-ventral margin;anatomical margin that is located on the postero-ventral region of the body or body part.
independent continuant;ventro-medial region;the region corresponding to the ventral region of the entity, towards the midline.
independent continuant;apical-basal gradient;anatomical gradient that is distributed along the apical-basal axis.
independent continuant;ventral region;anatomical region ventrally located on the body or body part.
independent continuant;dorsal margin;anatomical margin that is located on the dorsal side of body or body part.
independent continuant;postero-ventral region;anatomical region that overlaps the posterior and ventral regions of a body or body part.
independent continuant;basal surface;anatomical surface that is located on the basal side of the body or body part.
independent continuant;apical-basal axis relative to substrate;an axis that extends through an organism or organism part from the part of the organism or organism part attached to a substrate (basal) to the furthest from the attachment (apical). note that the apical-basal axis is often used for organismal parts where there is attachment via a basal lamina or other structure.
independent continuant;postero-lateral region;anatomical region that overlaps the posterior and lateral regions of the body or body part.
independent continuant;antero-medial margin;anatomical margin that is located on the antero-medial region of the body or body part.
independent continuant;lateral margin;anatomical margin that is located on the lateral side of the body or body part.
independent continuant;medial-radial axis;an anatomical axis that is perpendicular to an apical/basal axis or proximal/distal axis and extends from the center of an axis (shoot axis or root in the case of plants) to any point on the exterior of the axis.
independent continuant;ventral surface;anatomical surface that is located on the ventral side of the body or body part.
independent continuant;anterior margin;anatomical margin that is located on the anterior side of a body or body part.
independent continuant;proximal surface;anatomical surface that is located on the proximal side of the body or body part.
independent continuant;postero-medial margin;anatomical margin that is located on the postero-medial region of the body or body part.
independent continuant;basal margin;anatomical margin that is located on the basal side of the body or body part.
independent continuant;distal region;anatomical region distally located on the body or body part.
independent continuant;superficial region;anatomical region superficially located on the body or body part.
independent continuant;anterior-posterior gradient;anatomical gradient that is distributed along the anterior-posterior axis.
independent continuant;transverse plane;anatomical plane that divides body into anterior and posterior parts.
independent continuant;medial-lateral axis;an axis that extends from the center of organism to one or other side.
independent continuant;parasagittal plane;sagittal plane that divides a bilateral body into unequal left and right parts.
independent continuant;ventro-lateral margin;anatomical margin that is located on the ventro-lateral region of the body or body part.
independent continuant;deep-superficial gradient;anatomical gradient that is distributed along the deep-superficial axis.
independent continuant;medial-external axis;an anatomical axis that extends from the center of the body outwards or externally.
independent continuant;proximal-distal axis;an axis that extends from the point of attachment of a structure (proximal) to the point furthest away from the plane of attachment (distal).
independent continuant;ipsilateral surface;anatomical surface that is located on the same side of an organism or structure.
independent continuant;antero-dorsal region;anatomical region that overlaps the anterior and dorsal regions of a body or body part.
independent continuant;deep region;anatomical region located deep within an organism or structure.
independent continuant;basal side;anatomical side that is located on the basal end of an organism or structure.
independent continuant;dorsal-ventral gradient;anatomical gradient that is distributed along the dorsal-ventral axis.
independent continuant;dorsal region;anatomical region dorsally located on the body or body part.
independent continuant;medial region;anatomical region medially located on the body or body part.
independent continuant;sagittal plane;anatomical plane that divides a bilateral body into left and right parts, not necessarily of even size.
independent continuant;proximal-distal gradient;anatomical gradient that is distributed along the proximal-distal axis.
independent continuant;upper-lower gradient;anatomical gradient that is distributed along the upper-lower axis.
independent continuant;distal margin;anatomical margin that is located on the distal side of the body or body part.
independent continuant;anatomical axis;a straight line through space, intersecting an anatomical entity.
independent continuant;antero-medial region;anatomical region that overlaps the anterior and medial regions of the body or body part.
independent continuant;dorso-medial margin;anatomical margin that is located on the dorso-medial region of the body or body part.
independent continuant;dorso-lateral region;anatomical region that overlaps the dorsal and lateral regions of a body or body part.
independent continuant;inferior side;the side that is lower relative to the substrate.
independent continuant;left side;the side of an organism that is left of the sagittal plane.
independent continuant;antero-lateral region;anatomical region that overlaps the anterior and lateral regions of a body or body part.
independent continuant;lateral region;anatomical region laterally located on the body or body part.
independent continuant;postero-medial region;anatomical region that overlaps the posterior and medial regions of the body or body part.
independent continuant;dorso-lateral margin;anatomical margin that is located on the dorso-lateral region of the body or body part.
independent continuant;anatomical region;a 3d region in space without well-defined compartmental boundaries. for example, the dorsal region of an ectoderm.
independent continuant;animal-vegetal axis;an axis that extends from the animal end of an egg or early embryo to the opposite, vegetal end. in animals with yolk-bearing eggs, the vegetal end is the yolk bearing pole. (pertains to animals only - both vertebrate and invertebrate embryos).
independent continuant;ventral margin;anatomical margin that is located on the ventral side of the body or body part.
independent continuant;central region;anatomical region centrally located on the body or body part.
independent continuant;right side;the side of an organism that is right of the sagittal plane.
independent continuant;medial surface;anatomical surface that located on the medial side of the body or body part.
independent continuant;anatomical margin;fiat anatomical region extending a short distance from the boundary of an object inwards.
independent continuant;antero-dorsal margin;anatomical margin that is located on the antero-dorso region of the body or body part.
independent continuant;proximal margin;anatomical margin that is located on the proximal region of the body or body part.
independent continuant;distal side;anatomical side that is distally located on an organism or structure.
independent continuant;apical-basal axis relative to direction of growth;an axis of a plant structure that is determined by the direction of apical growth, either by an apical meristem or an apical cell. apical is toward the direction of apical growth: toward the tip of a growing shoot axis, root, thallus, or non-vascular leaf. basal is away from the direction of apical growth: toward the root-shoot junction in the case of the primary root or stem, toward the primary root or stem for higher order roots or branches, toward the point of attachment for non-vascular leaves, and toward the original point of growth (as determined in the embryo) for thalli.
independent continuant;tangential plane;anatomical plane that is perpendicular to a radial plane.
independent continuant;radial plane;anatomical plane that follows the two dimensions specified by an apical-basal axis relative to direction of growth and a medial-lateral axis.
independent continuant;anatomical plane;a flat 2d plane intersecting an anatomical continuant, dividing it into two adjacent portions.
independent continuant;posterior surface;anatomical surface that is located on the posterior side of the body or body part.
independent continuant;antero-ventral region;anatomical region that overlaps the anterior and ventral regions of a body or body part.
independent continuant;ventro-lateral region;anatomical region that overlaps the ventral and lateral regions of a body or body part.
independent continuant;central side;anatomical side that is centrally located on an organism or structure.
independent continuant;antero-ventral margin;anatomical margin that is located on the antero-ventral region of the body or body part.
independent continuant;posterior region;anatomical region posteriorly located on the body or body part.
independent continuant;apical margin;anatomical margin that is located on the apical side of the body or body part.
independent continuant;postero-dorsal region;anatomical region that overlaps the posterior and dorsal regions of the body or body part.
independent continuant;medial margin;anatomical margin that is located on the medial side of the body or body part.
independent continuant;anterior side;an anatomical region that is the entire part of an anatomical structure anterior to a transverse plane and bounded on one side by the same transverse plane.
independent continuant;posterior side;an anatomical region that is the entire part of an anatomical structure posterior to a transverse plane and bounded on one side by the same transverse plane.
independent continuant;antero-lateral margin;anatomical margin that is located on the antero-lateral region of the body or body part.
independent continuant;apical region;anatomical region located on the apical end on the body or body part.
independent continuant;left-right axis;an axis that bisects an organism from left to right sides of body, through a sagittal plane.
independent continuant;anatomical side;an anatomical region bounded by a plane perpendicular to an axis through the middle.
independent continuant;superior side;the side that is higher relative to the substrate.
independent continuant;horizontal plane;anatomical plane that divides bilateral body into dorsal and ventral parts.
independent continuant;postero-dorsal margin;anatomical margin that is located on the postero-dorsal region of the body or body part.
independent continuant;apical surface;anatomical surface that is located on the apical side of the body or body part.
independent continuant;oral-aboral axis;an axis that extends from the oral opening to the furthest point in an organism that is directly opposite.
independent continuant;deep-superficial axis;an axis that extends from an internal position to a more external position in the body or body part.
independent continuant;distal surface;anatomical surface that is located on the distal side of the body or body part.
independent continuant;postero-lateral margin;anatomical margin that is located on the postero-lateral region of the body or body part.
independent continuant;adaxial-abaxial axis;an anatomical axis that extends from the side of the anatomical entity that is closer to an axis (adaxial) to the side that is further from the same axis (abaxial).
independent continuant;posterior margin;anatomical margin that is located on the posterior side of the body or body part.
independent continuant;anatomical surface;a 2d surface of an anatomical continuant.
independent continuant;contralateral side;on the opposite side.
independent continuant;peripheral region;anatomical region peripherally located on the body or body part.
independent continuant;midsagittal plane;sagittal plane that divides bilateral body into equal left and right parts.
independent continuant;basal region;anatomical region located basally on the body or body part.
